,stud_sentence,stud_field,AVG-W2V_all_scores,AVG-W2V_similarity,AVG-W2V_aimed_sentence,AVG-W2V_aimed_field,AVG-W2V-STOP_all_scores,AVG-W2V-STOP_similarity,AVG-W2V-STOP_aimed_sentence,AVG-W2V-STOP_aimed_field,AVG-W2V-TFIDF_all_scores,AVG-W2V-TFIDF_similarity,AVG-W2V-TFIDF_aimed_sentence,AVG-W2V-TFIDF_aimed_field,AVG-W2V-TFIDF-STOP_all_scores,AVG-W2V-TFIDF-STOP_similarity,AVG-W2V-TFIDF-STOP_aimed_sentence,AVG-W2V-TFIDF-STOP_aimed_field,WMD-W2V_all_scores,WMD-W2V_similarity,WMD-W2V_aimed_sentence,WMD-W2V_aimed_field,SIF-W2V_all_scores,SIF-W2V_similarity,SIF-W2V_aimed_sentence,SIF-W2V_aimed_field,IDStud,IDClass,Category,Accuracy_score,Code,Fieldname
14,Concrete can dry out by CV,1,"[0.21329139, 0.6146025, 0.28659904, 0.14644729]",0.6146025061607361,Concrete dries out,Field2_en,"[0.1879653, 0.5377793, 0.1560774, 0.11893759]",0.5377792716026306,Concrete dries out,Field2_en,"[0.15282339708407702, 0.415277434094193, 0.1537145469052553, 0.0908340557676594]",0.415277434094193,Concrete dries out,Field2_en,"[0.1394126131681657, 0.38977359699451747, 0.12494435514137997, 0.07665180372260758]",0.38977359699451747,Concrete dries out,Field2_en,"[-3.614826927881465, -2.4268976389412753, -3.336630209280717, -3.927369869736918]",-2.4268976389412753,Concrete dries out,Field2_en,"[-0.49808452214211113, -0.4942089750233788, -0.5092207257942978, -0.5878699084374217]",-0.4942089750233788,Concrete dries out,Field2_en,14I4FG3,G3,Beton,2,g,1
15,dries out,1,"[0.20107125, 0.86244774, 0.16264643, 0.16411532]",0.8624477386474609,Concrete dries out,Field2_en,"[0.1841209, 0.8193205, 0.103062145, 0.1405913]",0.8193204998970032,Concrete dries out,Field2_en,"[0.22791716719105395, 0.923870479335197, 0.11670636361060792, 0.12319111558186947]",0.923870479335197,Concrete dries out,Field2_en,"[0.22265443896142673, 0.9214764060200149, 0.1022693766948322, 0.11610528984734557]",0.9214764060200149,Concrete dries out,Field2_en,"[-3.5318392788619994, -1.2587602350948845, -3.610093594341234, -3.9018381551914216]",-1.2587602350948845,Concrete dries out,Field2_en,"[-0.5365393962317192, -0.6729916669424665, -0.5639370902524592, -0.5796616370441046]",-0.5365393962317192,Central heating,Field1_en,20I5FH3B,H3B,Beton,2,g,1
16,concrete drying by using heating,1,"[0.59871364, 0.6413393, 0.32711747, 0.2305709]",0.6413393020629883,Concrete dries out,Field2_en,"[0.6139577, 0.6883587, 0.27008188, 0.25241542]",0.688358724117279,Concrete dries out,Field2_en,"[0.7085222986838895, 0.6917814800059694, 0.2661826785932259, 0.24791502592561326]",0.7085222986838895,Central heating,Field1_en,"[0.7086857352607792, 0.692882251961043, 0.25063457969289543, 0.24926557700511282]",0.7086857352607792,Central heating,Field1_en,"[-2.5903882712631225, -2.3856519436892563, -3.2712545079704296, -3.7774399310131073]",-2.3856519436892563,Concrete dries out,Field2_en,"[-0.25108511398093114, -0.1275630185859741, -0.5292140656590953, -0.6196894844151662]",-0.1275630185859741,Concrete dries out,Field2_en,26I6FA3A,A3A,Beton,2,g,1
17,using the CV concrete dries out,1,"[0.24202983, 0.7619919, 0.25046667, 0.15821314]",0.7619919180870056,Concrete dries out,Field2_en,"[0.2027267, 0.71405244, 0.18535966, 0.13655603]",0.7140524387359619,Concrete dries out,Field2_en,"[0.19764973376738532, 0.7603162607219733, 0.16093332116743062, 0.10884999465366413]",0.7603162607219733,Concrete dries out,Field2_en,"[0.1920268523445328, 0.7554596523887547, 0.14771322460200323, 0.1035309619081957]",0.7554596523887547,Concrete dries out,Field2_en,"[-3.642150266439499, -1.8664624416582882, -3.4855776400703165, -3.9752189043742883]",-1.8664624416582882,Concrete dries out,Field2_en,"[-0.5071749894681004, -0.41705273841642504, -0.5189955816141341, -0.5989826956706]",-0.41705273841642504,Concrete dries out,Field2_en,4I3O3VA,3VA,Beton,2,g,1
18,central heating in concrete buildings,1,"[0.7720704, 0.49576437, 0.5721931, 0.3324805]",0.7720704078674316,Central heating,Field1_en,"[0.7674432, 0.49615568, 0.60154426, 0.34168854]",0.7674431800842285,Central heating,Field1_en,"[0.7975859332876832, 0.4416202727748004, 0.5457723399720755, 0.34873018194821004]",0.7975859332876832,Central heating,Field1_en,"[0.7967985310365806, 0.43716685435872216, 0.5389538926227354, 0.3491524148562061]",0.7967985310365806,Central heating,Field1_en,"[-1.9599192402517318, -2.656941570882253, -2.5135894354359167, -3.5815891736824987]",-1.9599192402517318,Central heating,Field1_en,"[0.02190397889437676, -0.2839864212763839, -0.20280104701017765, -0.6697270634471805]",0.02190397889437676,Central heating,Field1_en,10I4F3G2,3G2,Beton,1,g,1
19,in many buildings thermal plant,1,"[0.3917085, 0.30067667, 0.5623895, 0.27893806]",0.5623894929885864,Buildings are smaller,Field3_en,"[0.35745955, 0.27974302, 0.5535196, 0.28052157]",0.553519606590271,Buildings are smaller,Field3_en,"[0.36390116911469106, 0.22579289947023196, 0.46855135202013143, 0.2449477855861346]",0.46855135202013143,Buildings are smaller,Field3_en,"[0.3605038796175986, 0.22530692078067843, 0.46437050780025824, 0.2444615110174199]",0.46437050780025824,Buildings are smaller,Field3_en,"[-3.364631843916321, -3.4302618464930283, -2.537265426407983, -3.6645017429631235]",-2.537265426407983,Buildings are smaller,Field3_en,"[-0.4806795854489187, -0.46161482261102305, -0.464001005271334, -0.6212433488138709]",-0.46161482261102305,Concrete dries out,Field2_en,11I1F3G2,3G2,Beton,1,g,1
20,concrete shrinkage by use of central heating,1,"[0.702083, 0.49400607, 0.42857113, 0.25663164]",0.7020829916000366,Central heating,Field1_en,"[0.72934794, 0.5258253, 0.3746791, 0.28183547]",0.7293479442596436,Central heating,Field1_en,"[0.6406231567695743, 0.469277954295789, 0.3481802535428028, 0.25326163920690764]",0.6406231567695743,Central heating,Field1_en,"[0.6420462142990563, 0.4694466232081915, 0.32906070403744403, 0.2550884594832056]",0.6420462142990563,Central heating,Field1_en,"[-2.2910593567243227, -2.803429333962944, -3.163429453236386, -3.75245976231532]",-2.2910593567243227,Central heating,Field1_en,"[-0.05076147056253019, -0.20892725769690756, -0.4169226415296579, -0.6230929283054442]",-0.05076147056253019,Central heating,Field1_en,11I2F3TT1,3TT1,Beton,1,g,1
21,heating in concrete buildings can cause problems,1,"[0.57818824, 0.5373807, 0.5585535, 0.3464049]",0.5781882405281067,Central heating,Field1_en,"[0.58279675, 0.49632967, 0.52044344, 0.34799203]",0.5827967524528503,Central heating,Field1_en,"[0.7199490253640694, 0.4712315662479379, 0.5123700990305227, 0.3567200195680181]",0.7199490253640694,Central heating,Field1_en,"[0.723982657161802, 0.4529046356121934, 0.4930081082138508, 0.35371032702982785]",0.723982657161802,Central heating,Field1_en,"[-2.86006687231348, -2.8535230916964562, -2.6786596866357706, -3.602216073500247]",-2.6786596866357706,Buildings are smaller,Field3_en,"[-0.175181614330535, -0.21272489191587618, -0.254817602356911, -0.5773040492383348]",-0.175181614330535,Central heating,Field1_en,11I2FH3B,H3B,Beton,1,g,1
22,in a (concrete) buildings is increasingly CV,1,"[0.29419208, 0.399791, 0.55295616, 0.21682051]",0.5529561638832092,Buildings are smaller,Field3_en,"[0.24073184, 0.38458934, 0.4998, 0.23080437]",0.4997999966144562,Buildings are smaller,Field3_en,"[0.16295722667342552, 0.26501967786487773, 0.38230597465710064, 0.1645563088677773]",0.38230597465710064,Buildings are smaller,Field3_en,"[0.157119500200034, 0.2594279895365642, 0.3662221062841457, 0.16463546218617195]",0.3662221062841457,Buildings are smaller,Field3_en,"[-3.6167475793730204, -3.021427293976396, -2.697241836873755, -3.862797612137548]",-2.697241836873755,Buildings are smaller,Field3_en,"[-0.48142143344816213, -0.44856996131905047, -0.459079738408394, -0.6212123791150792]",-0.44856996131905047,Concrete dries out,Field2_en,11I3F3GA1,3GA1,Beton,1,g,1
23,concrete shrinkage by heating,1,"[0.56612206, 0.5348792, 0.37534177, 0.22389041]",0.5661220550537109,Central heating,Field1_en,"[0.58906084, 0.59588635, 0.31455287, 0.2521157]",0.5958863496780396,Concrete dries out,Field2_en,"[0.5922348565178553, 0.47674237548573817, 0.3137875593734878, 0.23725370733284523]",0.5922348565178553,Central heating,Field1_en,"[0.5933036190842018, 0.4785441800238992, 0.29495245076549464, 0.23901465940842725]",0.5933036190842018,Central heating,Field1_en,"[-2.564411180666685, -2.6087991783254822, -3.2725463069678975, -3.8875107253808974]",-2.564411180666685,Central heating,Field1_en,"[-0.3523028948206478, -0.3070793981140711, -0.4693646417235746, -0.5839551369092569]",-0.3070793981140711,Concrete dries out,Field2_en,11I3FHC3,HC3,Beton,1,g,1
24,Many buildings have a resume that radiates heat,1,"[0.40900692, 0.40668598, 0.5647773, 0.38318485]",0.5647773146629333,Buildings are smaller,Field3_en,"[0.40835804, 0.38056365, 0.48258546, 0.3721213]",0.48258545994758606,Buildings are smaller,Field3_en,"[0.36403034873093687, 0.36290770783366494, 0.3551521456856483, 0.2974946784880665]",0.36403034873093687,Central heating,Field1_en,"[0.3579888880660049, 0.35709850086438444, 0.32861649321362074, 0.28918438635663546]",0.3579888880660049,Central heating,Field1_en,"[-3.327405137687315, -3.3537793062489776, -2.6879693394593023, -3.609932953671077]",-2.6879693394593023,Buildings are smaller,Field3_en,"[-0.3252611753141686, -0.3111734766617433, -0.3009827332032658, -0.5375674810360231]",-0.3009827332032658,Buildings are smaller,Field3_en,11I5FG3,G3,Beton,1,g,1
25,if buildings are not inspected at all of concrete when they shrink when you turn the central heating,1,"[0.51543313, 0.5313027, 0.6143882, 0.39608762]",0.6143882274627686,Buildings are smaller,Field3_en,"[0.6571578, 0.53364855, 0.5861588, 0.41190428]",0.6571577787399292,Central heating,Field1_en,"[0.5861061357570186, 0.49770982222224336, 0.5505982726611175, 0.39726739469032035]",0.5861061357570186,Central heating,Field1_en,"[0.6045370745490879, 0.4790108414759435, 0.5289195995505767, 0.3854212752928755]",0.6045370745490879,Central heating,Field1_en,"[-2.8530625351130796, -2.9439736296848027, -2.587643445683961, -3.4262098734719824]",-2.587643445683961,Buildings are smaller,Field3_en,"[-0.02932582321871176, -0.06970961679053347, -0.09399134851817764, -0.5519565940986666]",-0.02932582321871176,Central heating,Field1_en,11I6FV3D,V3D,Beton,1,g,1
26,Concrete buildings with heating,1,"[0.61999595, 0.5264568, 0.58896935, 0.3639283]",0.6199959516525269,Central heating,Field1_en,"[0.6277616, 0.54264313, 0.60439765, 0.36172947]",0.6277616024017334,Central heating,Field1_en,"[0.75774416309553, 0.4597330340599136, 0.5366625784551995, 0.35535093692911524]",0.75774416309553,Central heating,Field1_en,"[0.7574055153542388, 0.45625224757351673, 0.5271605042648784, 0.35381589451641626]",0.7574055153542388,Central heating,Field1_en,"[-2.486667771263838, -2.5522444285143884, -2.4161767521328374, -3.560104402801156]",-2.4161767521328374,Buildings are smaller,Field3_en,"[-0.20867040988848234, -0.2671584483676236, -0.24265609903838764, -0.613407867552027]",-0.20867040988848234,Central heating,Field1_en,12I4FHC3,HC3,Beton,1,g,1
27,concrete buildings were built where central heating,1,"[0.673175, 0.4917728, 0.65013444, 0.38811088]",0.6731749773025513,Central heating,Field1_en,"[0.70939493, 0.50029266, 0.6169829, 0.3626918]",0.7093949317932129,Central heating,Field1_en,"[0.7553023104691152, 0.44634607831352296, 0.5843446393074108, 0.3787705253739679]",0.7553023104691152,Central heating,Field1_en,"[0.7649902053967861, 0.4456362457777406, 0.5617571786573835, 0.36611969938971545]",0.7649902053967861,Central heating,Field1_en,"[-2.390653213216348, -2.854257998000465, -2.4998996897735513, -3.549864803573427]",-2.390653213216348,Central heating,Field1_en,"[0.018836799277999097, -0.2233014892003702, -0.10495551989584341, -0.6375107211635495]",0.018836799277999097,Central heating,Field1_en,14I3F3A1,3A1,Beton,1,g,1
28,by heating,1,"[0.7568707, 0.22142787, 0.27638188, 0.14835058]",0.756870687007904,Central heating,Field1_en,"[0.83629066, 0.25847986, 0.17330042, 0.19531989]",0.8362906575202942,Central heating,Field1_en,"[0.9534744755764422, 0.26216926879267194, 0.1971309808776826, 0.19934023611999108]",0.9534744755764422,Central heating,Field1_en,"[0.9539591952511183, 0.2651037575721393, 0.17426280068008232, 0.2019912611769794]",0.9539591952511183,Central heating,Field1_en,"[-1.367372286881566, -3.3832405945557107, -3.2016566387560506, -3.768207082533121]",-1.367372286881566,Central heating,Field1_en,"[-0.5849589239505825, -0.5072719215499544, -0.5625887082434922, -0.5705510835526881]",-0.5072719215499544,Concrete dries out,Field2_en,14I5F3TT1,3TT1,Beton,1,g,1
29,central heating in concrete building,1,"[0.7900608, 0.5219312, 0.457846, 0.28794965]",0.790060818195343,Central heating,Field1_en,"[0.7916084, 0.5257534, 0.4651014, 0.29646468]",0.7916083931922913,Central heating,Field1_en,"[0.823464086067708, 0.4609932201186037, 0.4196136576768256, 0.30042284965148786]",0.823464086067708,Central heating,Field1_en,"[0.8231067464892061, 0.45640589875535703, 0.40939889580654176, 0.30076049961365736]",0.8231067464892061,Central heating,Field1_en,"[-1.856752711294365, -2.545233856962655, -2.9347336671739592, -3.577198348689747]",-1.856752711294365,Central heating,Field1_en,"[0.03552041193382428, -0.24725282680587785, -0.3790434212436913, -0.6598035697472747]",0.03552041193382428,Central heating,Field1_en,16I1F3G2,3G2,Beton,1,g,1
30,central heating,1,"[0.99999994, 0.24110739, 0.25649506, 0.190356]",0.9999999403953552,Central heating,Field1_en,"[0.99999994, 0.23186803, 0.2528243, 0.190356]",0.9999999403953552,Central heating,Field1_en,"[1.0, 0.25818132899991947, 0.23637088663629913, 0.20954683601133964]",1.0,Central heating,Field1_en,"[1.0, 0.2544551465565095, 0.22525893071907568, 0.20954683601133964]",1.0,Central heating,Field1_en,"[-0.0, -3.5795249261427617, -3.432471919893541, -3.8606200724341866]",-0.0,Central heating,Field1_en,"[0.9999999999999998, -0.6296348006861678, -0.6621779889733984, -0.7492246756044735]",0.9999999999999998,Central heating,Field1_en,17I2F3TT1,3TT1,Beton,1,g,1
31,central heating affects concrete buildings,1,"[0.7378306, 0.4933394, 0.5389537, 0.32438013]",0.7378305792808533,Central heating,Field1_en,"[0.7378306, 0.4896547, 0.5469893, 0.32438013]",0.7378305792808533,Central heating,Field1_en,"[0.7347992830525761, 0.45604033967683827, 0.49254228152476087, 0.3210083741366885]",0.7347992830525761,Central heating,Field1_en,"[0.7347992830525761, 0.44849231757642616, 0.4772731676378446, 0.3210083741366885]",0.7347992830525761,Central heating,Field1_en,"[-2.2466280543736934, -2.9181814114905804, -2.7789591018657673, -3.8137832684523585]",-2.2466280543736934,Central heating,Field1_en,"[-0.049697166985289254, -0.26616282872232466, -0.25962694891586, -0.6337393822092757]",-0.049697166985289254,Central heating,Field1_en,17I6FV3D,V3D,Beton,1,g,1
