,AVG-W2V_aimed_sentence,AVG-W2V_aimed_field,AVG-W2V_similarity,stud_field,stud_sentence,IDStud,IDClass,Category,Accuracy_score,Code,Fieldname
15,Concrete dries out,Field2_en,0.8624477386474609,1,dries out,20I5FH3B,H3B,Beton,2,g,1
16,Concrete dries out,Field2_en,0.6413393020629883,1,concrete drying by using heating,26I6FA3A,A3A,Beton,2,g,1
17,Concrete dries out,Field2_en,0.7619919180870056,1,using the CV concrete dries out,4I3O3VA,3VA,Beton,2,g,1
18,Central heating,Field1_en,0.7720704078674316,1,central heating in concrete buildings,10I4F3G2,3G2,Beton,1,g,1
19,Buildings are smaller,Field3_en,0.5623894929885864,1,in many buildings thermal plant,11I1F3G2,3G2,Beton,1,g,1
20,Central heating,Field1_en,0.7020829916000366,1,concrete shrinkage by use of central heating,11I2F3TT1,3TT1,Beton,1,g,1
21,Central heating,Field1_en,0.5781882405281067,1,heating in concrete buildings can cause problems,11I2FH3B,H3B,Beton,1,g,1
22,Buildings are smaller,Field3_en,0.5529561638832092,1,in a (concrete) buildings is increasingly CV,11I3F3GA1,3GA1,Beton,1,g,1
23,Central heating,Field1_en,0.5661220550537109,1,concrete shrinkage by heating,11I3FHC3,HC3,Beton,1,g,1
24,Buildings are smaller,Field3_en,0.5647773146629333,1,Many buildings have a resume that radiates heat,11I5FG3,G3,Beton,1,g,1
25,Buildings are smaller,Field3_en,0.6143882274627686,1,if buildings are not inspected at all of concrete when they shrink when you turn the central heating,11I6FV3D,V3D,Beton,1,g,1
26,Central heating,Field1_en,0.6199959516525269,1,Concrete buildings with heating,12I4FHC3,HC3,Beton,1,g,1
27,Central heating,Field1_en,0.6731749773025513,1,concrete buildings were built where central heating,14I3F3A1,3A1,Beton,1,g,1
28,Central heating,Field1_en,0.756870687007904,1,by heating,14I5F3TT1,3TT1,Beton,1,g,1
29,Central heating,Field1_en,0.790060818195343,1,central heating in concrete building,16I1F3G2,3G2,Beton,1,g,1
30,Central heating,Field1_en,0.9999999403953552,1,central heating,17I2F3TT1,3TT1,Beton,1,g,1
31,Central heating,Field1_en,0.7378305792808533,1,central heating affects concrete buildings,17I6FV3D,V3D,Beton,1,g,1
32,Concrete dries out,Field2_en,0.6227596402168274,1,concrete shrinks by heating,19I4F3GA1,3GA1,Beton,1,g,1
33,Central heating,Field1_en,0.7784876823425293,1,Concrete is used in central heating,19I5F3AB,3AB,Beton,1,g,1
34,Central heating,Field1_en,0.7727364897727966,1,In a building heating,20I6FG3,G3,Beton,1,g,1
35,Central heating,Field1_en,0.8629480600357056,1,Central heating in the building,2I3O2VB,2VB,Beton,1,g,1
36,Central heating,Field1_en,0.7440105676651001,1,the use of central heating in concrete buildings,2I5O3TT1,3TT1,Beton,1,g,1
37,Central heating,Field1_en,0.6874634623527527,1,warmth of central heating ensures that concrete shrinks,2I6FH3B,H3B,Beton,1,g,1
38,Central heating,Field1_en,0.8239939212799072,1,concrete with central heating,4I2O3G2,3G2,Beton,1,g,1
39,Concrete dries out,Field2_en,0.85052490234375,1,central heating dries out concrete,5I1FH3A,H3A,Beton,1,g,1
40,Central heating,Field1_en,0.5961817502975464,1,central heated heats,5I2F3TT1,3TT1,Beton,1,g,1
41,Central heating,Field1_en,0.7940506339073181,1,There is central heating is used,5I3OV3D,V3D,Beton,1,g,1
42,Central heating,Field1_en,0.7437957525253296,1,central heating at concrete buildings,5I5F3A3,3A3,Beton,1,g,1
43,Central heating,Field1_en,0.8146486878395081,1,In buildings have central heating,7I5F3VA,3VA,Beton,1,g,1
44,Central heating,Field1_en,0.8577985763549805,1,Central heating in buildings,8I3F2VB,2VB,Beton,1,g,1
45,Central heating,Field1_en,0.6153050065040588,1,in a house with new concrete and the heating,8I5FH3C,H3C,Beton,1,g,1
46,Concrete dries out,Field2_en,0.8068377375602722,1,central heating in concrete building concrete dries out,9I3F3A3,3A3,Beton,1,g,1
47,Concrete dries out,Field2_en,0.6414152979850769,1,If concrete is warm turn it off,10I2FHC3,HC3,Beton,0,c,1
48,Concrete dries out,Field2_en,0.5160162448883057,1,quality concrete is not good,11I3F3VA,3VA,Beton,0,c,1
49,Buildings are smaller,Field3_en,0.5648439526557922,1,concrete is used for houses,11I4FH3C,H3C,Beton,0,c,1
50,Buildings are smaller,Field3_en,0.737800121307373,1,buildings are made of concrete,11I5F3A1,3A1,Beton,0,c,1
51,Buildings are smaller,Field3_en,0.617687463760376,1,concrete buildings,11I6F2VB,2VB,Beton,0,c,1
52,Concrete dries out,Field2_en,0.4688814580440521,1,There cv applied in concrete buildings,14I3FA3A,A3A,Beton,0,c,1
53,Buildings are smaller,Field3_en,0.7530466914176941,1,Many buildings are made of concrete,14I5F3AB,3AB,Beton,0,c,1
54,Concrete dries out,Field2_en,0.37603601813316345,1,1962 KOMO certificate authorized use of concrete,14I5FH3B,H3B,Beton,0,c,1
55,Buildings are smaller,Field3_en,0.7584667205810547,1,buildings are often built of concrete,15I3F3A3,3A3,Beton,0,c,1
56,Buildings are smaller,Field3_en,0.7530466914176941,1,many buildings are made of concrete,17I1F3GA1,3GA1,Beton,0,c,1
57,Concrete dries out,Field2_en,0.48890432715415955,1,there being mishandled concrete,17I1F3VA,3VA,Beton,0,c,1
58,Buildings are smaller,Field3_en,0.6723804473876953,1,Concrete is often used for buildings,17I2FH3D,H3D,Beton,0,c,1
59,Concrete dries out,Field2_en,0.5291791558265686,1,Concrete is used a sheet of constructing means,17I3F3AB,3AB,Beton,0,c,1
60,Buildings are smaller,Field3_en,0.7530466914176941,1,many buildings are made of concrete,17I6F2VB,2VB,Beton,0,c,1
61,Concrete dries out,Field2_en,0.6155791878700256,1,Cold concrete building,17I6FH3C,H3C,Beton,0,c,1
62,Buildings are smaller,Field3_en,0.6854611039161682,1,in buildings is often used concrete,18I4F3GA1,3GA1,Beton,0,c,1
63,Buildings are smaller,Field3_en,0.5584343075752258,1,Concrete buildings built. common cold,19I1F3A3,3A3,Beton,0,c,1
64,Buildings are smaller,Field3_en,0.5584343075752258,1,Concrete buildings built. common cold,1I4O3GA1,3GA1,Beton,0,c,1
65,Buildings are smaller,Field3_en,0.7149240374565125,1,concrete'm much gebruikd by houses and buildings,20I3F2VB,2VB,Beton,0,c,1
66,Buildings are smaller,Field3_en,0.6349689364433289,1,70 years become big buildings built by concrete,20I3FH3A,H3A,Beton,0,c,1
67,Concrete dries out,Field2_en,0.49242135882377625,1,Concrete expands and contracts,20I3FH3C,H3C,Beton,0,c,1
68,Concrete dries out,Field2_en,0.48254597187042236,1,concentration concrete must be good otherwise it may expand,20I4O3A1,3A1,Beton,0,c,1
69,Concrete dries out,Field2_en,0.5721719861030579,1,concrete using,20I5FH3E,H3E,Beton,0,c,1
70,Concrete dries out,Field2_en,0.5677335858345032,1,Concrete get much use to build houses,23I2FH3B,H3B,Beton,0,c,1
71,Buildings are smaller,Field3_en,0.6787179112434387,1,Many buildings are made of concrete and concrete krimt when heated,26I2FH3D,H3D,Beton,0,c,1
72,Buildings are smaller,Field3_en,0.6851046681404114,1,Many concrete buildings,26I3FG3,G3,Beton,0,c,1
73,Concrete dries out,Field2_en,0.44001132249832153,1,Concrete must be tested first,2I6F3A1,3A1,Beton,0,c,1
74,Central heating,Field1_en,0.37691301107406616,1,Heat and moisture,32I3FH3E,H3E,Beton,0,c,1
75,Buildings are smaller,Field3_en,0.5987066626548767,1,buildings made of concrete,3I2O3A3,3A3,Beton,0,c,1
76,Buildings are smaller,Field3_en,0.6421189904212952,1,Buildings should be firm,5I3OG3,G3,Beton,0,c,1
77,Concrete dries out,Field2_en,0.58222895860672,1,concrete is often used to build house,5I6F2VB,2VB,Beton,0,c,1
78,Buildings are smaller,Field3_en,0.600473165512085,1,Build concrete buildings,5I6FH3D,H3D,Beton,0,c,1
79,Concrete dries out,Field2_en,0.6130991578102112,1,by wet concrete,8I2FV3D,V3D,Beton,0,c,1
80,Concrete dries out,Field2_en,0.4738825559616089,1,Extensive use is made of concrete,8I2O3AB,3AB,Beton,0,c,1
81,Buildings are smaller,Field3_en,0.6851046681404114,1,many buildings of concrete,8I3FG3,G3,Beton,0,c,1
82,Concrete dries out,Field2_en,0.5811690092086792,1,much concrete is used,8I5F3TT1,3TT1,Beton,0,c,1
83,Facial expression can change,Field4_en,0.7500589489936829,1,sometimes you get an undesired effect of the changed facial expressions,11I6FV3D,V3D,Botox,4b,g,1
84,Facial expression can change,Field4_en,0.6430971026420593,1,You can often give you good expression,17I6FV3D,V3D,Botox,4b,g,1
85,Facial expression can change,Field4_en,0.6335196495056152,1,Another expression,20I2FV3D,V3D,Botox,4b,g,1
86,Facial expression can change,Field4_en,0.914312481880188,1,change your facial expression onwillis,20I4O3A1,3A1,Botox,4b,g,1
87,Facial expression can change,Field4_en,0.8970948457717896,1,Changing Facial Expression,20I5F3AB,3AB,Botox,4b,g,1
88,Facial expression can change,Field4_en,0.6139625906944275,1,This allows you unlimited expression would be affected,8I6FH3E,H3E,Botox,4b,g,1
89,People look younger,Field3_en,0.759608805179596,1,you seem younger,19I4F3GA1,3GA1,Botox,4a,g,1
90,Facial expression can change,Field4_en,0.6601986289024353,1,Get a result of facial rejuvenation,26I1FV3D,V3D,Botox,4a,g,1
91,People look younger,Field3_en,0.892870306968689,1,want people to have to look younger,8I1FA3,A3,Botox,4a,g,1
92,Can help against wrinkles between the eyes and forehead,Field2_en,0.6045896410942078,1,it reduces wrinkles,12I5FA3,A3,Botox,3,g,1
93,Can help against wrinkles between the eyes and forehead,Field2_en,0.5438867807388306,1,Is your face smoother,19I5F3AB,3AB,Botox,3,g,1
94,Can help against wrinkles between the eyes and forehead,Field2_en,0.6511356234550476,1,you have less wrinkles,2I6F3A1,3A1,Botox,3,g,1
95,Can help against wrinkles between the eyes and forehead,Field2_en,0.8376861214637756,1,it is often for wrinkles on the forehead and used in eye,5I6OH3E,H3E,Botox,3,g,1
96,Can help against wrinkles between the eyes and forehead,Field2_en,0.6468669176101685,1,wrinkles away,8I1FH3B,H3B,Botox,3,g,1
97,Can help against wrinkles between the eyes and forehead,Field2_en,0.5837842226028442,1,wrinkles attracts soon,8I2FV3D,V3D,Botox,3,g,1
98,Facial expression can change,Field4_en,0.5323535203933716,1,it can help eg. people blink much not to do,10I4F3G2,3G2,Botox,2,g,1
99,Can help against wrinkles between the eyes and forehead,Field2_en,0.46993884444236755,1,is used as means for conditions such as too many flashing,11I2F3TT1,3TT1,Botox,2,g,1
100,People look younger,Field3_en,0.5584080219268799,1,people who blink a lot and hard to be helped,11I3F3GA1,3GA1,Botox,2,g,1
101,Can help against wrinkles between the eyes and forehead,Field2_en,0.6629078984260559,1,It is used for people who blink hard with their eyes.,11I5FG3,G3,Botox,2,g,1
102,Can help against wrinkles between the eyes and forehead,Field2_en,0.49489137530326843,1,can be corrected twitching,13I5FHC3,HC3,Botox,2,g,1
103,Can help prevent muscle tightness,Field1_en,0.6312981843948364,1,It was used by sudden muscle squeezes,14I4FG3,G3,Botox,2,g,1
104,Can help against wrinkles between the eyes and forehead,Field2_en,0.6238591074943542,1,helps eg blink too hard on your eyes,16I1F3G2,3G2,Botox,2,g,1
105,Can help against wrinkles between the eyes and forehead,Field2_en,0.591404139995575,1,this word often used by many people blink their eyes,17I6F2VB,2VB,Botox,2,g,1
106,Can help against wrinkles between the eyes and forehead,Field2_en,0.469920814037323,1,stop if you often flashes,18I4F3GA1,3GA1,Botox,2,g,1
107,Can help against wrinkles between the eyes and forehead,Field2_en,0.6203449368476868,1,no wrinkles,20I5FH3B,H3B,Botox,2,g,1
108,Can help prevent muscle tightness,Field1_en,0.633605420589447,1,it was widely used to prevent contraction of the muscles,23I2FH3B,H3B,Botox,2,g,1
109,Can help against wrinkles between the eyes and forehead,Field2_en,0.6087110638618469,1,Can you use it for rapid eye blinking. Nerve is relaxed and attracts less,26I3FG3,G3,Botox,2,g,1
110,Can help prevent muscle tightness,Field1_en,0.5477450489997864,1,only for contracting muscles,26I6FA3A,A3A,Botox,2,g,1
111,Can help against wrinkles between the eyes and forehead,Field2_en,0.4603666663169861,1,Using many people with twitching,27I6F3G2,3G2,Botox,2,g,1
112,Can help against wrinkles between the eyes and forehead,Field2_en,0.4414917826652527,1,"For example, you blink too much remedy",2I3O2VB,2VB,Botox,2,g,1
113,People look younger,Field3_en,0.5899085998535156,1,sick people can get their looks racks,2I5O3TT1,3TT1,Botox,2,g,1
114,Can help against wrinkles between the eyes and forehead,Field2_en,0.6627943515777588,1,it used to be used to reduce contraction of muscles: the regular blinking eyes,5I1OH3B,H3B,Botox,2,g,1
115,Can help prevent muscle tightness,Field1_en,0.5492660999298096,1,it is used to relax muscles when someone for example. Often flashes,5I3OV3D,V3D,Botox,2,g,1
116,People look younger,Field3_en,0.572297990322113,1,do people blink less hard,5I6F2VB,2VB,Botox,2,g,1
117,Can help against wrinkles between the eyes and forehead,Field2_en,0.5848994255065918,1,it is used against twitching,7I5F3VA,3VA,Botox,2,g,1
118,Facial expression can change,Field4_en,0.4020422697067261,1,Used by eg. Excessive blinking,8I3FG3,G3,Botox,2,g,1
119,Can help prevent muscle tightness,Field1_en,0.5496861934661865,1,stops the contraction of muscles,8I5F3TT1,3TT1,Botox,2,g,1
120,Facial expression can change,Field4_en,0.42520982027053833,1,it may be harmful,11I2FH3B,H3B,Botox,0,c,1
121,Can help prevent muscle tightness,Field1_en,0.5710430145263672,1,which muscles are looser,11I3F3VA,3VA,Botox,0,c,1
122,Facial expression can change,Field4_en,0.43269339203834534,1,they suffer less from eg frequently flashing,11I4FH3C,H3C,Botox,0,c,1
123,Can help against wrinkles between the eyes and forehead,Field2_en,0.4750627875328064,1,it is often used in plastic surgery,11I5F3A1,3A1,Botox,0,c,1
124,Can help prevent muscle tightness,Field1_en,0.5025262832641602,1,people with spasms do not UNREADABLE more,11I5FH3A,H3A,Botox,0,c,1
125,Can help against wrinkles between the eyes and forehead,Field2_en,0.6290556192398071,1,The word used for people with muscle tension eg. Someone who blinks to ahrd with his / her eyes,11I6FH3E,H3E,Botox,0,c,1
126,Can help against wrinkles between the eyes and forehead,Field2_en,0.46202200651168823,1,it is allowed only for special treatments,13I6FA3,A3,Botox,0,c,1
127,Can help against wrinkles between the eyes and forehead,Field2_en,0.5294466614723206,1,your face is tight and unnatural,14I3F3A1,3A1,Botox,0,c,1
128,Facial expression can change,Field4_en,0.3994925022125244,1,optic traits can be delisted,14I4F3G2,3G2,Botox,0,c,1
129,Can help prevent muscle tightness,Field1_en,0.3772689998149872,1,Medical problems are resolved,14I5F3AB,3AB,Botox,0,c,1
130,Can help against wrinkles between the eyes and forehead,Field2_en,0.4703245759010315,1,tighter skin,14I5F3TT1,3TT1,Botox,0,c,1
131,Can help prevent muscle tightness,Field1_en,0.4869062304496765,1,"nerves tighten, paralyzed",15I3FA3,A3,Botox,0,c,1
132,Can help against wrinkles between the eyes and forehead,Field2_en,0.38973453640937805,1,it is actually poison,17I1F3GA1,3GA1,Botox,0,c,1
133,Can help against wrinkles between the eyes and forehead,Field2_en,0.5971721410751343,1,wrinkles disappear,17I1F3VA,3VA,Botox,0,c,1
134,Can help against wrinkles between the eyes and forehead,Field2_en,0.6438199877738953,1,Can it be used in people who often blink their eyes,17I2FH3D,H3D,Botox,0,c,1
135,Can help prevent muscle tightness,Field1_en,0.3733724057674408,1,reduce Twitching,17I5FH3E,H3E,Botox,0,c,1
136,Can help against wrinkles between the eyes and forehead,Field2_en,0.5741455554962158,1,fewer wrinkles,17I6FH3C,H3C,Botox,0,c,1
137,Facial expression can change,Field4_en,0.27340567111968994,1,therefore dangerous,19I1F3A3,3A3,Botox,0,c,1
138,People look younger,Field3_en,0.4605052173137665,1,"there in 2004, 28 people deceased in America",20I1FA3A,A3A,Botox,0,c,1
139,People look younger,Field3_en,0.38122040033340454,1,cases because it is misused there dead,20I3F2VB,2VB,Botox,0,c,1
140,Facial expression can change,Field4_en,0.3872491717338562,1,No spastic tendencies,20I5FH3E,H3E,Botox,0,c,1
141,Can help against wrinkles between the eyes and forehead,Field2_en,0.593204915523529,1,You can not blink your eyes,20I6FH3D,H3D,Botox,0,c,1
142,Can help against wrinkles between the eyes and forehead,Field2_en,0.5248329043388367,1,makes you lashes eg. Not doing too hard close,25I5F3A1,3A1,Botox,0,c,1
143,Can help against wrinkles between the eyes and forehead,Field2_en,0.5443492531776428,1,It is used in patients who blink hard,26I2FH3D,H3D,Botox,0,c,1
144,People look younger,Field3_en,0.4937737286090851,1,Are there many people died from an overdose.,29I1F3AB,3AB,Botox,0,c,1
145,Can help against wrinkles between the eyes and forehead,Field2_en,0.5931789875030518,1,it is used by people who suffer from eye blinking in large sizes,2I6FH3B,H3B,Botox,0,c,1
146,Can help prevent muscle tightness,Field1_en,0.5553073287010193,1,paralyze your muscles,32I3FH3E,H3E,Botox,0,c,1
147,Can help against wrinkles between the eyes and forehead,Field2_en,0.5664368867874146,1,lower lashes to your eye,3I2O3A3,3A3,Botox,0,c,1
148,Can help prevent muscle tightness,Field1_en,0.5447808504104614,1,it is used as a medicine for many muscles that work,4I2O3G2,3G2,Botox,0,c,1
149,Can help prevent muscle tightness,Field1_en,0.2871112823486328,1,hazardous and therefore strict measures,4I3O3VA,3VA,Botox,0,c,1
150,Can help prevent muscle tightness,Field1_en,0.47198787331581116,1,stops spasms,5I1FH3A,H3A,Botox,0,c,1
151,Can help against wrinkles between the eyes and forehead,Field2_en,0.4684905409812927,1,Should only be done by doctors,5I1OH3C,H3C,Botox,0,c,1
152,Can help against wrinkles between the eyes and forehead,Field2_en,0.3793492913246155,1,Is used in patients,5I3OG3,G3,Botox,0,c,1
153,Facial expression can change,Field4_en,0.42483779788017273,1,you must oppasen the quantities you use,5I5F3A3,3A3,Botox,0,c,1
154,Facial expression can change,Field4_en,0.4583079516887665,1,You can flash a lot,5I6FH3D,H3D,Botox,0,c,1
155,Can help prevent muscle tightness,Field1_en,0.1833166927099228,1,Dangerous,8I2O3AB,3AB,Botox,0,c,1
156,Can help prevent muscle tightness,Field1_en,0.2016812413930893,1,huidt paralyzes,8I3F2VB,2VB,Botox,0,c,1
157,Can help against wrinkles between the eyes and forehead,Field2_en,0.37882673740386963,1,may be dead,8I5F3A1,3A1,Botox,0,c,1
158,Can help against wrinkles between the eyes and forehead,Field2_en,0.38915345072746277,1,Get it checked properly,8I5FH3C,H3C,Botox,0,c,1
159,Can help against wrinkles between the eyes and forehead,Field2_en,0.4394308030605316,1,it can be very dangerous,9I1FHC3,HC3,Botox,0,c,1
160,Money does not gellukig long time,Field4_en,0.5496513843536377,1,your family makes you happy,13I6FA3,A3,Geld,4b,g,1
161,People should not be distracted for too long risk,Field1_en,0.6729159355163574,1,people are happy if they belong to society or with their families,15I3F3A3,3A3,Geld,4b,g,1
162,People should not be distracted for too long risk,Field1_en,0.6234216094017029,1,people are happier than the people around them economic stability,27I6F3G2,3G2,Geld,4b,g,1
163,A person may experience only short deep happiness or unhappiness,Field2_en,0.7571994066238403,1,feeling of happiness does not last long,14I3FA3A,A3A,Geld,4a,g,1
164,A person may experience only short deep happiness or unhappiness,Field2_en,0.771937906742096,1,people experience only brief sense of happiness,5I1FH3A,H3A,Geld,4a,g,1
165,People should not be distracted for too long risk,Field1_en,0.6016297340393066,1,rich people are often unhappy,11I6F2VB,2VB,Geld,5,g,1
166,People should not be distracted for too long risk,Field1_en,0.6250860095024109,1,people with money often unhappy,8I3FG3,G3,Geld,5,g,1
167,People should not be distracted for too long risk,Field1_en,0.6491186022758484,1,People quickly get used to things to be alert Foreground evaar,11I2F3TT1,3TT1,Geld,3,g,1
168,People get used to luxury,Field3_en,0.7873896360397339,1,People get used to things,11I6FH3E,H3E,Geld,3,g,1
169,People get used to luxury,Field3_en,0.7970573306083679,1,People quickly get used also to luxuries,12I5FA3,A3,Geld,3,g,1
170,Money does not gellukig long time,Field4_en,0.7134612202644348,1,You get used to the amount of money you have,8I2O3AB,3AB,Geld,3,g,1
171,People should not be distracted for too long risk,Field1_en,0.612145185470581,1,Man has for a short time feeling (un) lucky,11I1F3G2,3G2,Geld,2,g,1
172,People should not be distracted for too long risk,Field1_en,0.7766261696815491,1,people may be short but happy or unhappy,2I6F3A1,3A1,Geld,2,g,1
173,People should not be distracted for too long risk,Field1_en,0.6580356955528259,1,It appears that people feel but shortly fortune or misfortune,5I1OH3C,H3C,Geld,2,g,1
174,People should not be distracted for too long risk,Field1_en,0.8069037199020386,1,People can not be very long happy or unhappy,5I3OV3D,V3D,Geld,2,g,1
175,Money does not gellukig long time,Field4_en,0.7761697769165039,1,happiness does not last long,8I5F3TT1,3TT1,Geld,2,g,1
176,A person may experience only short deep happiness or unhappiness,Field2_en,0.7466117143630981,1,Man can not maintain a sense of happiness for a long time,9I3F3A3,3A3,Geld,2,g,1
177,People should not be distracted for too long risk,Field1_en,0.7206353545188904,1,People are easily distracted Hazards,14I5F3AB,3AB,Geld,1,g,1
178,People should not be distracted for too long risk,Field1_en,0.7366834282875061,1,people will naturally last onbewut the risk of his idea,7I5F3VA,3VA,Geld,1,g,1
179,People should not be distracted for too long risk,Field1_en,0.6948036551475525,1,people to potential danger but keep short eye,8I5FH3C,H3C,Geld,1,g,1
180,A person may experience only short deep happiness or unhappiness,Field2_en,0.33573830127716064,1,person examines young lotto winners,10I2FHC3,HC3,Geld,0,c,1
181,A person may experience only short deep happiness or unhappiness,Field2_en,0.4491460621356964,1,someone wins the lottery,10I4F3G2,3G2,Geld,0,c,1
182,People get used to luxury,Field3_en,0.486655056476593,1,people win the lottery,11I3F3VA,3VA,Geld,0,c,1
183,People get used to luxury,Field3_en,0.23294246196746826,1,Lotto winners win lottery,11I4FH3C,H3C,Geld,0,c,1
184,People should not be distracted for too long risk,Field1_en,0.6431363821029663,1,People are suddenly a lot of money,11I5FG3,G3,Geld,0,c,1
185,People should not be distracted for too long risk,Field1_en,0.7437558770179749,1,people it is often happy if their environment happy,11I6FV3D,V3D,Geld,0,c,1
186,Money does not gellukig long time,Field4_en,0.35965707898139954,1,win big,12I4FHC3,HC3,Geld,0,c,1
187,People should not be distracted for too long risk,Field1_en,0.7590417265892029,1,people can not get in to the first time,14I3F3A1,3A1,Geld,0,c,1
188,People should not be distracted for too long risk,Field1_en,0.5555188059806824,1,you are happier with love,14I5F3TT1,3TT1,Geld,0,c,1
189,A person may experience only short deep happiness or unhappiness,Field2_en,0.12311536073684692,1,Melanie Greenberg 'psychologist' researches,14I5FH3B,H3B,Geld,0,c,1
190,People should not be distracted for too long risk,Field1_en,0.5000025629997253,1,Man is naturally alert,16I1F3G2,3G2,Geld,0,c,1
191,People should not be distracted for too long risk,Field1_en,0.6931244134902954,1,Man is naturally attentive to if necessary. Danger,17I1F3GA1,3GA1,Geld,0,c,1
192,People should not be distracted for too long risk,Field1_en,0.71991366147995,1,Man can not stand long under great stress,17I1F3VA,3VA,Geld,0,c,1
193,People get used to luxury,Field3_en,0.1766660511493683,1,Melanie Greenberg investigates lotto winners,17I2FH3D,H3D,Geld,0,c,1
194,Money does not gellukig long time,Field4_en,0.49021461606025696,1,Money won,17I3F3AB,3AB,Geld,0,c,1
195,Money does not gellukig long time,Field4_en,0.694402277469635,1,if you win a lot of money,17I6F2VB,2VB,Geld,0,c,1
196,Money does not gellukig long time,Field4_en,0.6319605112075806,1,Money seems fun,17I6FH3C,H3C,Geld,0,c,1
197,People should not be distracted for too long risk,Field1_en,0.6660254597663879,1,people think to be lucky money,17I6FV3D,V3D,Geld,0,c,1
198,Money does not gellukig long time,Field4_en,0.24827542901039124,1,winnings,19I1F3A3,3A3,Geld,0,c,1
199,Money does not gellukig long time,Field4_en,0.4523855149745941,1,you win 134.2 million,19I4F3GA1,3GA1,Geld,0,c,1
200,Money does not gellukig long time,Field4_en,0.6210069060325623,1,give people money naturally to fun things,19I5F3AB,3AB,Geld,0,c,1
201,Money does not gellukig long time,Field4_en,0.5780153870582581,1,lots of money,1I4O3GA1,3GA1,Geld,0,c,1
202,A person may experience only short deep happiness or unhappiness,Field2_en,0.3641028106212616,1,Research on life of lotto winner,20I2F3VA,3VA,Geld,0,c,1
203,People should not be distracted for too long risk,Field1_en,0.6528986692428589,1,People were often used to quickly adjust the environment,20I2FV3D,V3D,Geld,0,c,1
204,People should not be distracted for too long risk,Field1_en,0.5484384894371033,1,People want to be lotto winner,20I3F2VB,2VB,Geld,0,c,1
205,A person may experience only short deep happiness or unhappiness,Field2_en,0.2858331501483917,1,family friends,20I3FH3A,H3A,Geld,0,c,1
206,Money does not gellukig long time,Field4_en,0.8462923169136047,1,Money does not make you happy,20I3FH3C,H3C,Geld,0,c,1
207,People should not be distracted for too long risk,Field1_en,0.7517575621604919,1,you're lucky if you do not care but if you have to UNREADABLE this is not good,20I4O3A1,3A1,Geld,0,c,1
208,Money does not gellukig long time,Field4_en,0.5780153870582581,1,lots of money,20I5FH3E,H3E,Geld,0,c,1
209,A person may experience only short deep happiness or unhappiness,Field2_en,0.6503671407699585,1,There is research on happiness,20I6FG3,G3,Geld,0,c,1
210,Money does not gellukig long time,Field4_en,0.7335121035575867,1,If you have money you want more,23I2FH3C,H3C,Geld,0,c,1
211,Money does not gellukig long time,Field4_en,0.5780153870582581,1,lots of money,25I5F3A1,3A1,Geld,0,c,1
212,People get used to luxury,Field3_en,0.474276065826416,1,you buy a ticket,26I2FH3D,H3D,Geld,0,c,1
213,A person may experience only short deep happiness or unhappiness,Field2_en,0.6050969958305359,1,Economic prosperity can not buy happiness,29I1F3AB,3AB,Geld,0,c,1
214,People should not be distracted for too long risk,Field1_en,0.6979992389678955,1,be happy with anything when you get something new,2I3O2VB,2VB,Geld,0,c,1
215,People should not be distracted for too long risk,Field1_en,0.578107476234436,1,family and environment to fit in there is important,2I5O3TT1,3TT1,Geld,0,c,1
