Field,Field_correct,Field_en,Field_correct_en,Accuracy_score,Code,Fieldname
heb je minder rimpels,Kan helpen tegen verkrampte spieren,you have less wrinkles,Can help prevent muscle tightness,3,g,Botox;Field1
wordt het vaak voor rimpels op het voorhoofd en bij de ogen gebruikt,Kan helpen tegen verkrampte spieren,it is often for wrinkles on the forehead and used in eye,Can help prevent muscle tightness,3,g,Botox;Field1
rimpels weg,Kan helpen tegen verkrampte spieren,wrinkles away,Can help prevent muscle tightness,3,g,Botox;Field1
trekt de rimpels straks,Kan helpen tegen verkrampte spieren,wrinkles attracts soon,Can help prevent muscle tightness,3,g,Botox;Field1
kan het helpen bij bijv. mensen die veel knipperen dat niet meer te laten doen,Kan helpen tegen verkrampte spieren,it can help eg. people blink much not to do,Can help prevent muscle tightness,2,g,Botox;Field1
wordt gebruikt als middel voor aandoeningen zoals te veel knipperen,Kan helpen tegen verkrampte spieren,is used as means for conditions such as too many flashing,Can help prevent muscle tightness,2,g,Botox;Field1
kunnen mensen die veel en hard knipperen geholpen worden,Kan helpen tegen verkrampte spieren,people who blink a lot and hard to be helped,Can help prevent muscle tightness,2,g,Botox;Field1
Wordt het gebruikt voor mensen die te hard knipperen met hun ogen.,Kan helpen tegen verkrampte spieren,It is used for people who blink hard with their eyes.,Can help prevent muscle tightness,2,g,Botox;Field1
kunnen zenuwtrekkingen verholpen worden,Kan helpen tegen verkrampte spieren,can be corrected twitching,Can help prevent muscle tightness,2,g,Botox;Field1
Werd het gebruikt bij plotselingen spieraanspanningen,Kan helpen tegen verkrampte spieren,It was used by sudden muscle squeezes,Can help prevent muscle tightness,2,g,Botox;Field1
helpt bij bv te hard knipperen van je ogen,Kan helpen tegen verkrampte spieren,helps eg blink too hard on your eyes,Can help prevent muscle tightness,2,g,Botox;Field1
word dit veel gebruikt bij mensen die veel knipperen met hun ogen,Kan helpen tegen verkrampte spieren,this word often used by many people blink their eyes,Can help prevent muscle tightness,2,g,Botox;Field1
stopt het als je vaak knippert,Kan helpen tegen verkrampte spieren,stop if you often flashes,Can help prevent muscle tightness,2,g,Botox;Field1
geen rimpels,Kan helpen tegen verkrampte spieren,no wrinkles,Can help prevent muscle tightness,2,g,Botox;Field1
werd het vroeger veel gebruikt om aanspanning van de spieren te voorkomen,Kan helpen tegen verkrampte spieren,it was widely used to prevent contraction of the muscles,Can help prevent muscle tightness,2,g,Botox;Field1
Kan je het gebruiken voor snel knipperend oog. Zenuw is dan ontspannen en trekt minder snel,Kan helpen tegen verkrampte spieren,Can you use it for rapid eye blinking. Nerve is relaxed and attracts less,Can help prevent muscle tightness,2,g,Botox;Field1
alleen gebruikt voor samentrekkende spieren,Kan helpen tegen verkrampte spieren,only for contracting muscles,Can help prevent muscle tightness,2,g,Botox;Field1
veel gebruiken bij mensen met spiertrekkingen,Kan helpen tegen verkrampte spieren,Using many people with twitching,Can help prevent muscle tightness,2,g,Botox;Field1
kun je bijvoorbeeld te veel knipperen verhelpen,Kan helpen tegen verkrampte spieren,"For example, you blink too much remedy",Can help prevent muscle tightness,2,g,Botox;Field1
zieke mensen kunnen van hun oogtrekken komen,Kan helpen tegen verkrampte spieren,sick people can get their looks racks,Can help prevent muscle tightness,2,g,Botox;Field1
werd het vroeger vooral gebruikt om aanspanning van spieren te verminderen bij: het regelmatig knipperen met ogen,Kan helpen tegen verkrampte spieren,it used to be used to reduce contraction of muscles: the regular blinking eyes,Can help prevent muscle tightness,2,g,Botox;Field1
word het gebruikt om spieren te verslappen als iemand bv. Vaak knippert,Kan helpen tegen verkrampte spieren,it is used to relax muscles when someone for example. Often flashes,Can help prevent muscle tightness,2,g,Botox;Field1
gaan mensen minder hard knipperen,Kan helpen tegen verkrampte spieren,do people blink less hard,Can help prevent muscle tightness,2,g,Botox;Field1
wordt het gebruikt tegen zenuwtrekkingen,Kan helpen tegen verkrampte spieren,it is used against twitching,Can help prevent muscle tightness,2,g,Botox;Field1
Gebruikt tegen bv. Overmatig knipperen,Kan helpen tegen verkrampte spieren,Used by eg. Excessive blinking,Can help prevent muscle tightness,2,g,Botox;Field1
stopt de samentrekking van spieren,Kan helpen tegen verkrampte spieren,stops the contraction of muscles,Can help prevent muscle tightness,2,g,Botox;Field1
kan het schadelijk zijn,Kan helpen tegen verkrampte spieren,it may be harmful,Can help prevent muscle tightness,0,c,Botox;Field1
die spieren zijn losser,Kan helpen tegen verkrampte spieren,which muscles are looser,Can help prevent muscle tightness,0,c,Botox;Field1
hebben ze minder last van bijv vaak knipperen,Kan helpen tegen verkrampte spieren,they suffer less from eg frequently flashing,Can help prevent muscle tightness,0,c,Botox;Field1
wordt het vaak gebruikt in de plastische chirurgie,Kan helpen tegen verkrampte spieren,it is often used in plastic surgery,Can help prevent muscle tightness,0,c,Botox;Field1
mensen met spasmes hebben geen ONLEESBAAR meer,Kan helpen tegen verkrampte spieren,people with spasms do not UNREADABLE more,Can help prevent muscle tightness,0,c,Botox;Field1
word het gebruikt voor mensen met spieraanspanning bijv. Iemand die te ahrd met zijn/haar ogen knippert,Kan helpen tegen verkrampte spieren,The word used for people with muscle tension eg. Someone who blinks to ahrd with his / her eyes,Can help prevent muscle tightness,0,c,Botox;Field1
het is alleen toegestaan voor speciale behandelingen,Kan helpen tegen verkrampte spieren,it is allowed only for special treatments,Can help prevent muscle tightness,0,c,Botox;Field1
je gezicht wordt strak en onnatuurlijk,Kan helpen tegen verkrampte spieren,your face is tight and unnatural,Can help prevent muscle tightness,0,c,Botox;Field1
kunnen oogzenuwtrekjes weg worden gehaald,Kan helpen tegen verkrampte spieren,optic traits can be delisted,Can help prevent muscle tightness,0,c,Botox;Field1
Er worden medische problemen opgelost,Kan helpen tegen verkrampte spieren,Medical problems are resolved,Can help prevent muscle tightness,0,c,Botox;Field1
strakkere huid,Kan helpen tegen verkrampte spieren,tighter skin,Can help prevent muscle tightness,0,c,Botox;Field1
"zenuwen spannen niet aan, worden verlamd",Kan helpen tegen verkrampte spieren,"nerves tighten, paralyzed",Can help prevent muscle tightness,0,c,Botox;Field1
is het eigenlijk vergif,Kan helpen tegen verkrampte spieren,it is actually poison,Can help prevent muscle tightness,0,c,Botox;Field1
verdwijnen rimpels,Kan helpen tegen verkrampte spieren,wrinkles disappear,Can help prevent muscle tightness,0,c,Botox;Field1
Kan het worden gebruikt bij mensen die vaak met hun ogen knipperen,Kan helpen tegen verkrampte spieren,Can it be used in people who often blink their eyes,Can help prevent muscle tightness,0,c,Botox;Field1
Zenuwtrekjes verminderen,Kan helpen tegen verkrampte spieren,reduce Twitching,Can help prevent muscle tightness,0,c,Botox;Field1
Minder rimpels,Kan helpen tegen verkrampte spieren,fewer wrinkles,Can help prevent muscle tightness,0,c,Botox;Field1
daarom gevaarlijk,Kan helpen tegen verkrampte spieren,therefore dangerous,Can help prevent muscle tightness,0,c,Botox;Field1
"zijn er in 2004, 28 mensen overleden in Amerika",Kan helpen tegen verkrampte spieren,"there in 2004, 28 people deceased in America",Can help prevent muscle tightness,0,c,Botox;Field1
zijn er doden gevallen omdat het verkeerd is gebruikt,Kan helpen tegen verkrampte spieren,cases because it is misused there dead,Can help prevent muscle tightness,0,c,Botox;Field1
geen spastische trekjes,Kan helpen tegen verkrampte spieren,No spastic tendencies,Can help prevent muscle tightness,0,c,Botox;Field1
Kan je niet meer je ogen knipperen,Kan helpen tegen verkrampte spieren,You can not blink your eyes,Can help prevent muscle tightness,0,c,Botox;Field1
zorgt dat je je wimpers bv. Niet te hard dicht doet,Kan helpen tegen verkrampte spieren,makes you lashes eg. Not doing too hard close,Can help prevent muscle tightness,0,c,Botox;Field1
Wordt het gebruikt bij patienten die hard knipperen,Kan helpen tegen verkrampte spieren,It is used in patients who blink hard,Can help prevent muscle tightness,0,c,Botox;Field1
Zijn er veel mensen doodgegaan door een overdosis.,Kan helpen tegen verkrampte spieren,Are there many people died from an overdose.,Can help prevent muscle tightness,0,c,Botox;Field1
wordt het bij mensen gebruikt die last hebben van oogknipperen in grote maten,Kan helpen tegen verkrampte spieren,it is used by people who suffer from eye blinking in large sizes,Can help prevent muscle tightness,0,c,Botox;Field1
verlammen je spieren,Kan helpen tegen verkrampte spieren,paralyze your muscles,Can help prevent muscle tightness,0,c,Botox;Field1
minder wimpers bij je oog,Kan helpen tegen verkrampte spieren,lower lashes to your eye,Can help prevent muscle tightness,0,c,Botox;Field1
wordt het als medicijn gebruikt voor spieren die te veel werken,Kan helpen tegen verkrampte spieren,it is used as a medicine for many muscles that work,Can help prevent muscle tightness,0,c,Botox;Field1
gevaarlijk en dus strenge maatregelen,Kan helpen tegen verkrampte spieren,hazardous and therefore strict measures,Can help prevent muscle tightness,0,c,Botox;Field1
stopt spasmes,Kan helpen tegen verkrampte spieren,stops spasms,Can help prevent muscle tightness,0,c,Botox;Field1
Mag alleen door doktoren worden gedaan,Kan helpen tegen verkrampte spieren,Should only be done by doctors,Can help prevent muscle tightness,0,c,Botox;Field1
Wordt gebruikt bij patienten,Kan helpen tegen verkrampte spieren,Is used in patients,Can help prevent muscle tightness,0,c,Botox;Field1
moet je oppasen met de hoeveelheden die je gebruikt,Kan helpen tegen verkrampte spieren,you must oppasen the quantities you use,Can help prevent muscle tightness,0,c,Botox;Field1
Je kan veel knipperen,Kan helpen tegen verkrampte spieren,You can flash a lot,Can help prevent muscle tightness,0,c,Botox;Field1
Gevaarlijk,Kan helpen tegen verkrampte spieren,Dangerous,Can help prevent muscle tightness,0,c,Botox;Field1
huidt verlamt,Kan helpen tegen verkrampte spieren,huidt paralyzes,Can help prevent muscle tightness,0,c,Botox;Field1
kan al dood gaan,Kan helpen tegen verkrampte spieren,may be dead,Can help prevent muscle tightness,0,c,Botox;Field1
Word het goed gecontroleerd,Kan helpen tegen verkrampte spieren,Get it checked properly,Can help prevent muscle tightness,0,c,Botox;Field1
kan het heel gevaarlijk zijn,Kan helpen tegen verkrampte spieren,it can be very dangerous,Can help prevent muscle tightness,0,c,Botox;Field1
je familie maakt je gelukkig,Mensen moeten niet te lang afgeleid worden van gevaar,your family makes you happy,People should not be distracted for too long risk,4b,g,Geld;Field1
mensen zijn gelukkig als ze bij de maatschappij of bij hun familie horen,Mensen moeten niet te lang afgeleid worden van gevaar,people are happy if they belong to society or with their families,People should not be distracted for too long risk,4b,g,Geld;Field1
mensen worden gelukkiger van de mensen om hun heen dan van de economische stabiliteit,Mensen moeten niet te lang afgeleid worden van gevaar,people are happier than the people around them economic stability,People should not be distracted for too long risk,4b,g,Geld;Field1
gevoel van geluk blijft niet lang,Mensen moeten niet te lang afgeleid worden van gevaar,feeling of happiness does not last long,People should not be distracted for too long risk,4a,g,Geld;Field1
mensen ervaren maar kort gevoel van geluk,Mensen moeten niet te lang afgeleid worden van gevaar,people experience only brief sense of happiness,People should not be distracted for too long risk,4a,g,Geld;Field1
rijke mensen vaak niet gelukkig,Mensen moeten niet te lang afgeleid worden van gevaar,rich people are often unhappy,People should not be distracted for too long risk,5,g,Geld;Field1
mensen met veel geld vaak ongelukkig,Mensen moeten niet te lang afgeleid worden van gevaar,people with money often unhappy,People should not be distracted for too long risk,5,g,Geld;Field1
mensen raken snel gewend aan dingen om alerter te zijn voorg evaar,Mensen moeten niet te lang afgeleid worden van gevaar,People quickly get used to things to be alert Foreground evaar,People should not be distracted for too long risk,3,g,Geld;Field1
Mensen wennen snel aan dingen,Mensen moeten niet te lang afgeleid worden van gevaar,People get used to things,People should not be distracted for too long risk,3,g,Geld;Field1
Mensen wennen snel dus ook aan luxe dingen,Mensen moeten niet te lang afgeleid worden van gevaar,People quickly get used also to luxuries,People should not be distracted for too long risk,3,g,Geld;Field1
Je raakt gewend aan de hoeveelheid geld dat je hebt,Mensen moeten niet te lang afgeleid worden van gevaar,You get used to the amount of money you have,People should not be distracted for too long risk,3,g,Geld;Field1
mens heeft voor een korte tijd gevoel van (on)geluk,Mensen moeten niet te lang afgeleid worden van gevaar,Man has for a short time feeling (un) lucky,People should not be distracted for too long risk,2,g,Geld;Field1
mensen kunnen maar kort gelukkig of ongelukkig zijn,Mensen moeten niet te lang afgeleid worden van gevaar,people may be short but happy or unhappy,People should not be distracted for too long risk,2,g,Geld;Field1
Het blijkt dat mensen maar kort geluk of ongeluk voelen,Mensen moeten niet te lang afgeleid worden van gevaar,It appears that people feel but shortly fortune or misfortune,People should not be distracted for too long risk,2,g,Geld;Field1
Mensen kunnen niet heel lang gelukkig of ongelukkig zijn,Mensen moeten niet te lang afgeleid worden van gevaar,People can not be very long happy or unhappy,People should not be distracted for too long risk,2,g,Geld;Field1
geluk blijft niet lang,Mensen moeten niet te lang afgeleid worden van gevaar,happiness does not last long,People should not be distracted for too long risk,2,g,Geld;Field1
mens kan niet een geluksgevoel voor lange tijd aanhouden,Mensen moeten niet te lang afgeleid worden van gevaar,Man can not maintain a sense of happiness for a long time,People should not be distracted for too long risk,2,g,Geld;Field1
Mensen worden snel afgeleid van de gevaren,Mensen moeten niet te lang afgeleid worden van gevaar,People are easily distracted Hazards,People should not be distracted for too long risk,1,g,Geld;Field1
mensen willen van nature niet te lang onbewut van het idee gevaar af zijn,Mensen moeten niet te lang afgeleid worden van gevaar,people will naturally last onbewut the risk of his idea,People should not be distracted for too long risk,1,g,Geld;Field1
mensen kunnen mogelijk gevaar maar kort in de gaten houden,Mensen moeten niet te lang afgeleid worden van gevaar,people to potential danger but keep short eye,People should not be distracted for too long risk,1,g,Geld;Field1
persoon onderzoekt jonge lotto winnaars,Mensen moeten niet te lang afgeleid worden van gevaar,person examines young lotto winners,People should not be distracted for too long risk,0,c,Geld;Field1
iemand wint de loterij,Mensen moeten niet te lang afgeleid worden van gevaar,someone wins the lottery,People should not be distracted for too long risk,0,c,Geld;Field1
mensen winnen de loterij,Mensen moeten niet te lang afgeleid worden van gevaar,people win the lottery,People should not be distracted for too long risk,0,c,Geld;Field1
Lotto winners winnen loterij,Mensen moeten niet te lang afgeleid worden van gevaar,Lotto winners win lottery,People should not be distracted for too long risk,0,c,Geld;Field1
Mensen krijgen ineens heel veel geld,Mensen moeten niet te lang afgeleid worden van gevaar,People are suddenly a lot of money,People should not be distracted for too long risk,0,c,Geld;Field1
mensen zij vaker gelukkig als hun omgeving gelukkig is,Mensen moeten niet te lang afgeleid worden van gevaar,people it is often happy if their environment happy,People should not be distracted for too long risk,0,c,Geld;Field1
Veel geld winnen,Mensen moeten niet te lang afgeleid worden van gevaar,win big,People should not be distracted for too long risk,0,c,Geld;Field1
mensen kunnen niet tegen het in 1 keer krijg,Mensen moeten niet te lang afgeleid worden van gevaar,people can not get in to the first time,People should not be distracted for too long risk,0,c,Geld;Field1
je bent gelukkiger met liefde,Mensen moeten niet te lang afgeleid worden van gevaar,you are happier with love,People should not be distracted for too long risk,0,c,Geld;Field1
melanie greenberg 'psycholoog' doet onderzoek,Mensen moeten niet te lang afgeleid worden van gevaar,Melanie Greenberg 'psychologist' researches,People should not be distracted for too long risk,0,c,Geld;Field1
mens is van nature alert,Mensen moeten niet te lang afgeleid worden van gevaar,Man is naturally alert,People should not be distracted for too long risk,0,c,Geld;Field1
De mens is van nature oplettend op evt. gevaar,Mensen moeten niet te lang afgeleid worden van gevaar,Man is naturally attentive to if necessary. Danger,People should not be distracted for too long risk,0,c,Geld;Field1
De mens kan niet lang onder grote spanning staan,Mensen moeten niet te lang afgeleid worden van gevaar,Man can not stand long under great stress,People should not be distracted for too long risk,0,c,Geld;Field1
Melanie Greenberg doet onderzoek naar lottowinnaars,Mensen moeten niet te lang afgeleid worden van gevaar,Melanie Greenberg investigates lotto winners,People should not be distracted for too long risk,0,c,Geld;Field1
Geld wordt gewonnen,Mensen moeten niet te lang afgeleid worden van gevaar,Money won,People should not be distracted for too long risk,0,c,Geld;Field1
als je veel geld wint,Mensen moeten niet te lang afgeleid worden van gevaar,if you win a lot of money,People should not be distracted for too long risk,0,c,Geld;Field1
Geld lijkt leuk,Mensen moeten niet te lang afgeleid worden van gevaar,Money seems fun,People should not be distracted for too long risk,0,c,Geld;Field1
mensen denken gelukkig te worden van geld,Mensen moeten niet te lang afgeleid worden van gevaar,people think to be lucky money,People should not be distracted for too long risk,0,c,Geld;Field1
geld gewonnen,Mensen moeten niet te lang afgeleid worden van gevaar,winnings,People should not be distracted for too long risk,0,c,Geld;Field1
"je wint 134,2 miljoen",Mensen moeten niet te lang afgeleid worden van gevaar,you win 134.2 million,People should not be distracted for too long risk,0,c,Geld;Field1
Van nature geven mensen geld uit aan leuke dingen,Mensen moeten niet te lang afgeleid worden van gevaar,give people money naturally to fun things,People should not be distracted for too long risk,0,c,Geld;Field1
veel geld,Mensen moeten niet te lang afgeleid worden van gevaar,lots of money,People should not be distracted for too long risk,0,c,Geld;Field1
Onderzoek naar levensloop van lottowinnaar,Mensen moeten niet te lang afgeleid worden van gevaar,Research on life of lotto winner,People should not be distracted for too long risk,0,c,Geld;Field1
